2018/09/13 13:30:30 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:31 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:31 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:32 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:33 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:34 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:35 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:36 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:37 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:38 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:39 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:40 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:41 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:42 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:43 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:44 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:45 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:46 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:47 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:48 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:49 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:50 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:51 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:52 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:53 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:54 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:55 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:56 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:57 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:58 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:30:59 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:00 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:01 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:02 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:03 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:04 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:05 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:06 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:07 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:08 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:09 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:10 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:11 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:12 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:13 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:14 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:15 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:16 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:17 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:18 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:19 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:20 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:21 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:22 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:23 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:24 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:25 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:26 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:27 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:28 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:29 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:30 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:31 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:32 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:33 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
